Tanggal WIB	Jam WIB	BTC Open	BTC High	BTC Low	BTC Close	Posisi	Lot BTC	Pending Reverse	Qty Pending	Action	Saldo Realized	Equity MTM
2018-11-11	01:00	6456,05	6459,68	6445,45	6447,78	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6537
2018-11-11	02:00	6450,04	6453,65	6443,52	6447,4	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6531
2018-11-11	03:00	6447,44	6460	6446,01	6457,76	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6704
2018-11-11	04:00	6458,09	6465	6454	6454,09	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6642
2018-11-11	05:00	6454,01	6456,79	6443,3	6449,24	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6561
2018-11-11	06:00	6449,24	6451,54	6431,11	6433,05	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6291
2018-11-11	07:00	6435,16	6442,76	6431,11	6442,54	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,645
2018-11-11	08:00	6442,54	6449,29	6438,81	6443,53	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6466
2018-11-11	09:00	6443,44	6444,96	6431,11	6438,24	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6378
2018-11-11	10:00	6438,24	6438,24	6422,1	6428,72	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6219
2018-11-11	11:00	6427,01	6440,97	6425,27	6439,54	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6399
2018-11-11	12:00	6435,97	6441,48	6427,02	6428,64	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6217
2018-11-11	13:00	6428,64	6450	6426,21	6442,22	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6444
2018-11-11	14:00	6441	6449,83	6435,52	6443,67	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6468
2018-11-11	15:00	6443,69	6448,63	6436,09	6440,67	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6418
2018-11-11	16:00	6440,67	6441,17	6429,01	6431,97	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6273
2018-11-11	17:00	6431,97	6432,57	6412,77	6422,66	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6118
2018-11-11	18:00	6422,65	6432,04	6403,35	6410,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5906
2018-11-11	19:00	6413,16	6428,18	6407,36	6422,04	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6107
2018-11-11	20:00	6420,59	6428,21	6402	6408,08	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5874
2018-11-11	21:00	6410,06	6420	6406,42	6418,85	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6054
2018-11-11	22:00	6418,68	6419,93	6355	6380,89	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,542
2018-11-11	23:00	6380,01	6397,44	6363,34	6388,42	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5546
2018-11-12	00:00	6387	6408,94	6381,41	6398,02	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5706
2018-11-12	01:00	6400,85	6412,91	6395,95	6412,36	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5946
2018-11-12	02:00	6410,24	6435,42	6408,51	6421,38	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6096
2018-11-12	03:00	6421,38	6430	6418,42	6426,63	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6184
2018-11-12	04:00	6426,63	6426,63	6411,04	6412,33	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5945
2018-11-12	05:00	6412,33	6419,46	6404	6410	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5906
2018-11-12	06:00	6410	6462,14	6404	6449,81	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6571
2018-11-12	07:00	6450,71	6497	6449,81	6458,45	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6715
2018-11-12	08:00	6458,87	6463,04	6443	6450,86	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6588
2018-11-12	09:00	6454,35	6475	6450,01	6471,43	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6932
